User_ID,Name,Age,Gender,Country,Subscription_Plan,Favorite_Genre,Device,Viewing_Hours_Per_Week
1001,Rohan,41,Male,,Premium,Drama,Mobile,11
1002,Siya,55,Female,Canada,Basic,Romance,Mobile,38
1003,Neha,45,Female,USA,Basic,Romance,Laptop,16
1004,Arjun,38,Female,Australia,Premium,Action,Mobile,19
1005,Rohan,35,Female,Australia,Premium,Romance,Tablet,43
1006,Isha,53,Male,Canada,Premium,Romance,TV,15
1007,Ananya,52,Male,UK,Standard,Romance,TV,26
1008,Rohan,26,Male,Canada,Basic,Comedy,Mobile,41
1009,Neha,55,Female,Australia,Basic,Action,Tablet,31
1010,Arjun,47,Female,India,Basic,Drama,Tablet,19
1011,Siya,51,Male,India,Premium,Romance,Tablet,24
1012,Neha,49,Female,USA,Premium,Sci-Fi,TV,9
1013,Neha,20,Female,USA,Premium,Comedy,Tablet,23
1014,Ananya,20,Male,India,Premium,Romance,Tablet,4
1015,Priya,45,Male,Australia,Premium,Comedy,Mobile,10
1016,Arjun,32,Female,USA,Standard,Action,Laptop,9
1017,Vihaan,58,Female,Canada,Premium,Sci-Fi,Tablet,19
1018,Neha,40,Female,Canada,Basic,Sci-Fi,Mobile,15
1019,Priya,57,Male,Australia,Premium,Sci-Fi,Mobile,34
1020,Vihaan,28,Male,USA,Basic,Romance,Tablet,42
1021,Arjun,49,Male,Canada,Premium,Comedy,Laptop,19
1022,Aarav,53,Male,USA,Premium,Sci-Fi,TV,49
1023,Isha,50,Male,USA,Basic,Thriller,Laptop,21
1024,Priya,41,Female,Canada,Basic,Thriller,Tablet,34
1025,Kabir,56,Female,India,Basic,Comedy,Laptop,17
1026,Aarav,51,Female,Canada,Basic,Romance,Mobile,18
1027,Isha,45,Male,Australia,Standard,Romance,Mobile,17
1028,Ananya,54,Male,UK,Basic,Action,Laptop,2
1029,Rohan,24,Male,Canada,Premium,Action,TV,1
1030,Siya,21,Female,USA,Premium,Sci-Fi,Laptop,43
1031,Kabir,54,Male,USA,Standard,Drama,Tablet,10
1032,Ananya,18,Male,Canada,Basic,Action,TV,37
1033,Arjun,18,Female,UK,Premium,Romance,Laptop,48
1034,Ananya,37,Male,Canada,Standard,Drama,Laptop,5
1035,Rohan,36,Female,UK,Premium,Action,TV,12
1036,Arjun,46,Male,UK,Standard,Comedy,Laptop,36
1037,Kabir,27,Male,Australia,Standard,Thriller,Tablet,31
1038,Rohan,35,Female,USA,Basic,Action,Mobile,38
1039,Vihaan,45,Female,USA,Standard,Action,Tablet,9
1040,Siya,52,Female,UK,Premium,Comedy,Laptop,44
1041,Kabir,48,Female,USA,Premium,Romance,Mobile,26
1042,Vihaan,44,Female,India,Basic,Sci-Fi,TV,15
1043,Isha,28,Female,UK,Basic,Comedy,Tablet,16
1044,Kabir,55,Male,USA,Standard,Sci-Fi,TV,13
1045,Isha,22,Male,India,Basic,Action,Mobile,25
1046,Arjun,25,Female,Australia,Premium,Romance,Laptop,30
1047,Vihaan,51,Male,USA,Premium,Drama,Mobile,7
1048,Siya,29,Female,India,Basic,Action,Mobile,4
1049,Rohan,55,Male,Canada,Basic,Comedy,TV,43
1050,Neha,18,Female,Canada,Basic,Drama,Tablet,40
1051,Ananya,48,Male,India,Standard,Thriller,Mobile,38
1052,Aarav,21,Male,UK,Standard,Drama,Laptop,30
1053,Siya,22,Male,UK,Premium,Comedy,Mobile,10
1054,Vihaan,47,Male,USA,Standard,Drama,TV,30
1055,Neha,41,Male,Canada,Standard,Comedy,Tablet,39
1056,Siya,20,Female,UK,Standard,Action,Laptop,7
1057,Vihaan,28,Female,UK,Standard,Romance,TV,36
1058,Priya,21,Female,Canada,Premium,Thriller,Mobile,35
1059,Priya,43,Male,Australia,Basic,Romance,Mobile,24
1060,Isha,44,Female,UK,Premium,Romance,Tablet,39
1061,Siya,44,Male,India,Standard,Romance,TV,36
1062,Priya,59,Male,USA,Basic,Comedy,TV,45
1063,Vihaan,23,Male,UK,Basic,Comedy,Tablet,20
1064,Isha,32,Female,UK,Basic,Thriller,Laptop,49
1065,Vihaan,47,Male,Australia,Premium,Comedy,TV,32
1066,Isha,59,Female,India,Basic,Sci-Fi,Tablet,39
1067,Siya,54,Female,USA,Premium,Comedy,TV,49
1068,Neha,54,Male,UK,Premium,Comedy,Tablet,26
1069,Rohan,59,Male,USA,Standard,Comedy,Mobile,26
