User_ID,Name,Age,Profile_Type,Gender,Country,Subscription_Plan,Favorite_Genre,Watch_Time_Hours_Per_Week,Device_Used,Monthly_Spend_USD,Join_Date,Last_Login,Movies_Watched_Per_Month,Bing_Watcher
1,David Mendoza,30,Adult,Female,UK,Premium,Animation,48,Laptop,8.69,2023-03-05,2026-06-08,26,Yes
2,Erik Wood,64,Adult,Female,UK,Basic,Romance,31,Mobile,6.21,2024-02-19,2026-01-20,13,Yes
3,Courtney Clark,35,Adult,Male,Germany,Premium,Animation,22,Laptop,14.11,2021-11-07,2026-05-09,32,No
4,Courtney Curtis,66,Adult,Male,India,Premium,Animation,29,Laptop,8.49,2024-05-07,2026-01-21,27,No
5,Jonathan Kramer,65,Adult,Female,Germany,Standard,Cartoon,25,Laptop,14.89,2021-07-14,2026-05-15,43,No
6,Mark Wood,55,Adult,Female,UK,Premium,Comedy,20,Tablet,7.68,2021-03-19,2026-01-31,15,No
7,Mark Wilson,31,Adult,Female,Australia,Premium,Action,6,Smart TV,5.99,2024-01-28,2026-04-20,34,No
8,Timothy Mendoza,5,Kids,Female,UK,Basic,Fantasy,24,Mobile,13.56,2022-01-27,2026-05-26,35,No
9,David Wood,33,Adult,Male,UK,Standard,Fantasy,18,Laptop,17.51,2021-11-18,2026-04-19,15,Yes
10,Courtney Sherman,70,Adult,Male,France,Premium,Sci-Fi,45,Laptop,16.45,2023-11-02,2026-05-11,31,Yes
11,Courtney Wilson,30,Adult,Female,Australia,Premium,Animation,41,Smart TV,16.93,2024-10-14,2026-04-18,50,Yes
12,David Miller,15,Kids,Male,India,Basic,Drama,26,Smart TV,7.09,2023-12-08,2026-06-05,11,Yes
13,Erik Sherman,56,Adult,Female,USA,Standard,Action,14,Smart TV,11.08,2024-03-14,2026-05-04,15,Yes
14,Courtney Kramer,29,Adult,Female,France,Standard,Fantasy,16,Tablet,12.01,2022-12-20,2026-04-03,30,Yes
15,Eddie Wood,42,Adult,Male,UK,Standard,Horror,18,Mobile,17.21,2023-05-09,2026-04-23,18,Yes
16,Eddie Mendoza,23,Adult,Male,Germany,Premium,Horror,43,Mobile,12.54,2022-04-25,2026-04-08,48,No
17,Jo Wilson,47,Adult,Female,Australia,Basic,Sci-Fi,14,Tablet,15.82,2021-12-17,2026-04-23,27,Yes
18,Timothy Garza,12,Kids,Male,UK,Standard,Fantasy,27,Tablet,13.98,2023-06-23,2026-02-24,17,No
19,Timothy Tucker,26,Adult,Female,Germany,Premium,Romance,27,Mobile,15.94,2021-05-09,2026-04-26,20,No
20,Courtney Clark,55,Adult,Male,USA,Standard,Animation,40,Tablet,15.41,2022-01-24,2026-04-18,49,No
21,Timothy Curtis,60,Adult,Male,Australia,Basic,Documentary,19,Smart TV,17.84,2022-07-16,2026-05-24,37,Yes
22,David Clark,31,Adult,Male,Germany,Basic,Horror,13,Tablet,5.02,2021-02-07,2026-05-27,6,Yes
23,Erik Wood,9,Kids,Male,India,Basic,Animation,17,Laptop,14.18,2024-03-02,2026-05-19,22,No
24,David Curtis,38,Adult,Male,India,Premium,Documentary,44,Mobile,11.51,2021-11-18,2026-03-28,40,No
25,David Curtis,40,Adult,Male,Canada,Basic,Fantasy,29,Laptop,9.76,2022-06-26,2026-03-30,14,No
26,David Curtis,26,Adult,Male,USA,Basic,Comedy,45,Tablet,15.52,2024-03-12,2026-03-15,2,Yes
27,Timothy Miller,67,Adult,Female,Australia,Basic,Cartoon,5,Laptop,8.25,2021-01-06,2026-04-21,17,No
28,Jo Wood,58,Adult,Male,Australia,Basic,Action,8,Tablet,10.56,2023-03-21,2026-04-11,14,Yes
29,Eddie Clark,55,Adult,Male,Australia,Standard,Romance,29,Tablet,14.36,2022-10-31,2026-06-01,15,No
30,Courtney Kramer,42,Adult,Female,UK,Standard,Action,46,Smart TV,10.33,2024-04-21,2026-01-25,3,Yes
31,Courtney Curtis,12,Kids,Female,UK,Standard,Romance,28,Mobile,11.13,2024-09-02,2026-05-08,21,Yes
32,Courtney Mendoza,36,Adult,Male,Germany,Standard,Thriller,45,Mobile,18.74,2024-01-24,2026-02-07,21,Yes
33,Jo Garza,29,Adult,Male,USA,Basic,Horror,41,Mobile,19.44,2022-02-21,2026-03-26,4,Yes
34,James Miller,53,Adult,Female,Australia,Basic,Horror,16,Smart TV,9,2022-08-14,2026-03-19,30,No
35,Kimberly Wood,16,Kids,Female,UK,Basic,Sci-Fi,14,Laptop,8.94,2024-01-28,2026-02-01,1,Yes
36,James Mendoza,35,Adult,Male,India,Basic,Comedy,43,Laptop,11.34,2022-07-08,2026-01-20,31,No
37,Timothy Wilson,66,Adult,Female,India,Basic,Thriller,31,Tablet,7.38,2023-01-07,2026-04-01,1,No
38,David Clark,46,Adult,Female,UK,Premium,Animation,19,Mobile,16.54,2023-08-31,2026-04-11,27,No
39,James Tucker,14,Kids,Male,India,Standard,Drama,38,Mobile,17.8,2025-01-01,2026-02-17,32,No
40,Jo Tucker,29,Adult,Female,UK,Standard,Documentary,15,Tablet,6.6,2023-06-09,2026-01-23,30,No
41,Jonathan Wood,13,Kids,Female,India,Basic,Action,30,Mobile,19.33,2021-12-15,2026-01-15,3,No
42,Jo Sherman,14,Kids,Female,UK,Basic,Comedy,49,Tablet,19.09,2022-09-21,2026-03-28,50,No
43,Eddie Kramer,13,Kids,Female,UK,Standard,Documentary,40,Laptop,15,2023-06-09,2026-02-22,31,No
44,Erik Wood,5,Kids,Male,Germany,Basic,Animation,12,Mobile,8.08,2021-10-20,2026-01-09,12,No
45,David Wood,21,Adult,Male,France,Basic,Horror,46,Laptop,16.91,2022-02-15,2026-05-16,24,Yes
46,James Sherman,59,Adult,Female,Australia,Basic,Thriller,40,Smart TV,5.61,2023-03-21,2026-01-30,39,Yes
47,Courtney Tucker,54,Adult,Male,Canada,Standard,Family,25,Laptop,10.36,2024-07-09,2026-01-25,10,Yes
48,Jonathan Kramer,41,Adult,Female,Germany,Premium,Thriller,21,Mobile,10.81,2024-07-03,2026-04-29,47,No
49,Courtney Mendoza,27,Adult,Female,India,Standard,Documentary,48,Mobile,18.54,2024-06-01,2026-05-05,24,No
50,Jo Clark,60,Adult,Male,USA,Basic,Thriller,18,Mobile,7.73,2021-10-31,2026-04-09,28,No
51,Courtney Sherman,34,Adult,Male,UK,Premium,Cartoon,30,Tablet,12.17,2022-09-25,2026-02-15,32,No
52,David Clark,17,Kids,Female,UK,Standard,Action,35,Smart TV,14.01,2021-03-19,2026-03-02,10,Yes
53,Mark Garza,55,Adult,Female,France,Standard,Family,48,Laptop,16.46,2023-10-04,2026-02-02,18,No
54,Kimberly Curtis,47,Adult,Female,France,Premium,Family,21,Laptop,10.16,2024-03-14,2026-03-11,36,No
55,Eddie Miller,12,Kids,Male,France,Standard,Romance,45,Tablet,17.94,2021-12-31,2026-05-17,46,No
56,Eddie Sherman,69,Adult,Male,Canada,Premium,Drama,43,Laptop,19.8,2021-02-07,2026-05-21,33,Yes
57,Timothy Kramer,6,Kids,Female,Germany,Standard,Animation,20,Mobile,7.7,2023-12-07,2026-01-03,36,Yes
58,Kimberly Miller,36,Adult,Male,Canada,Premium,Fantasy,42,Mobile,10.5,2021-04-20,2026-02-28,4,Yes
59,Erik Wilson,16,Kids,Female,Germany,Premium,Documentary,16,Mobile,8.16,2021-01-16,2026-02-18,36,No
60,James Kramer,64,Adult,Female,UK,Standard,Family,44,Tablet,12.06,2022-05-15,2026-03-04,39,Yes
61,Courtney Miller,49,Adult,Male,Germany,Basic,Fantasy,40,Smart TV,18.68,2023-09-02,2026-04-18,49,No
62,Erik Kramer,29,Adult,Male,USA,Basic,Sci-Fi,38,Tablet,10.07,2023-09-08,2026-03-27,12,Yes
63,Jonathan Curtis,15,Kids,Female,Australia,Premium,Horror,27,Laptop,12.24,2022-05-15,2026-03-22,43,Yes
64,Jo Curtis,38,Adult,Male,USA,Basic,Family,11,Tablet,6.6,2023-05-25,2026-04-12,45,No
65,Jonathan Clark,51,Adult,Male,USA,Basic,Romance,34,Mobile,10.99,2023-01-07,2026-05-23,49,No
66,Eddie Garza,10,Kids,Female,USA,Premium,Cartoon,24,Tablet,11.02,2023-04-24,2026-06-09,26,No
67,Jo Tucker,43,Adult,Male,France,Basic,Comedy,27,Tablet,9.31,2023-11-12,2026-03-29,16,No
68,Mark Miller,51,Adult,Female,India,Premium,Comedy,31,Mobile,6.72,2022-11-16,2026-04-05,35,Yes
69,Mark Kramer,67,Adult,Male,USA,Premium,Fantasy,28,Smart TV,11.61,2024-03-26,2026-02-19,33,Yes
